iter	Passed	Remaining
0	46	46353
1	46	23417
2	47	15755
3	47	11896
4	48	9581
5	48	8035
6	48	6928
7	49	6123
8	49	5474
9	50	4956
10	50	4530
11	50	4175
12	51	3875
13	51	3617
14	51	3394
15	52	3199
16	52	3027
17	52	2874
18	52	2736
19	53	2613
20	53	2507
21	54	2409
22	54	2318
23	54	2235
24	55	2158
25	55	2086
26	56	2024
27	56	1961
28	56	1901
29	57	1848
30	57	1796
31	58	1755
32	58	1711
33	58	1671
34	59	1631
35	59	1593
36	59	1557
37	60	1522
38	60	1492
39	60	1461
40	61	1431
41	61	1404
42	61	1377
43	62	1351
44	62	1326
45	62	1303
46	63	1280
47	63	1259
48	63	1241
49	64	1221
50	64	1202
51	64	1183
52	65	1165
53	65	1152
54	66	1136
55	66	1122
56	66	1106
57	67	1091
58	67	1077
59	67	1063
60	68	1053
61	68	1039
62	69	1026
63	69	1015
64	69	1003
65	70	1001
66	71	990
67	71	980
68	71	970
69	72	960
70	72	952
71	73	943
72	73	934
73	73	925
74	74	917
75	74	908
76	75	900
77	75	891
78	76	886
79	76	880
80	76	871
81	77	865
82	77	857
83	77	849
84	78	842
85	78	835
86	79	829
87	79	822
88	79	817
89	80	811
90	80	804
91	81	799
92	81	793
93	81	786
94	81	780
95	82	776
96	82	770
97	83	764
98	83	758
99	83	753
100	84	747
101	84	744
102	84	739
103	85	733
104	85	728
105	85	725
106	86	720
107	86	716
108	87	711
109	87	706
110	87	701
111	87	696
112	88	692
113	88	687
114	88	683
115	89	681
116	89	677
117	90	673
118	90	668
119	90	664
120	90	660
121	91	659
122	92	656
123	92	652
124	92	648
125	92	644
126	93	641
127	93	638
128	94	635
129	94	632
130	94	628
131	95	626
132	95	623
133	96	621
134	96	617
135	96	615
136	97	612
137	97	610
138	98	607
139	98	604
140	98	602
141	99	599
142	99	596
143	99	593
144	100	591
145	100	589
146	101	586
147	101	584
148	101	581
149	102	578
150	102	577
151	103	575
152	103	572
153	103	571
154	104	567
155	104	565
156	104	563
157	105	560
158	105	558
159	105	556
160	106	553
161	106	552
162	107	549
163	107	547
164	107	545
165	108	543
166	108	542
167	109	539
168	110	541
169	110	539
170	110	536
171	111	534
172	111	532
173	111	530
174	112	528
175	112	526
176	112	523
177	112	521
178	113	519
179	113	517
180	113	515
181	114	513
182	114	511
183	114	509
184	115	507
185	115	505
186	115	504
187	116	502
188	116	501
189	117	500
190	117	498
191	118	496
192	118	495
193	118	494
194	119	492
195	119	490
196	120	489
197	120	488
198	120	486
199	121	484
200	121	483
201	121	481
202	122	479
203	122	478
204	122	476
205	123	474
206	123	473
207	123	471
208	124	470
209	124	469
210	125	467
211	125	465
212	125	464
213	126	462
214	126	461
215	126	459
216	127	458
217	127	456
218	127	455
219	128	454
220	128	452
221	128	451
222	129	449
223	129	449
224	130	447
225	130	446
226	130	445
227	131	443
228	131	442
229	131	441
230	132	440
